Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
C09,SYBR,mCherry,Unkn-09,Well9,,36.27746141,35.11949539,1.002840091,13.79826397,1.139824449,31.15900296,15.03531837,67,
C10,SYBR,mCherry,Unkn-10,Well10,,33.65516002,33.39555147,0.885023274,68.39558722,1.835028083,88.70807019,50.57820114,67,
C11,SYBR,mCherry,Unkn-11,Well11,,34.27751706,34.094151,0.206149097,46.77714888,1.670033748,52.59718467,6.720080045,67,
C12,SYBR,mCherry,Unkn-12,Well12,,NaN,0,0,NaN,NaN,0,0,67,
F02,SYBR,mCherry,Std-03,,,12.68115977,12.81238498,0.118527873,31000000,7.491361694,31000000,0,67,
F03,SYBR,mCherry,Std-04,,,16.05054586,16.14927101,0.121425567,3100000,6.491361694,3100000,0,67,
F04,SYBR,mCherry,Std-05,,,18.79732043,18.99155515,0.178233134,310000,5.491361694,310000,0,67,
F05,SYBR,mCherry,Std-06,,,23.09622457,23.18497966,0.133128293,31000,4.491361694,31000,0,67,
F06,SYBR,mCherry,Std-07,,,28.14807272,28.22903733,0.123969643,3100,3.491361694,3100,0,67,
F07,SYBR,mCherry,Std-08,,,30.87757974,31.12977266,0.277223015,310,2.491361694,310,0,67,
F09,SYBR,mCherry,Unkn-14,H2O,NTC,NaN,0,0,NaN,NaN,0,0,67,
F10,SYBR,mCherry,Unkn-14,H2O,NTC,NaN,0,0,NaN,NaN,0,0,67,
G02,SYBR,mCherry,Std-03,,,12.91166974,12.81238498,0.118527873,31000000,7.491361694,31000000,0,67,
G03,SYBR,mCherry,Std-04,,,16.11241191,16.14927101,0.121425567,3100000,6.491361694,3100000,0,67,
G04,SYBR,mCherry,Std-05,,,19.02975132,18.99155515,0.178233134,310000,5.491361694,310000,0,67,
G05,SYBR,mCherry,Std-06,,,23.12066018,23.18497966,0.133128293,31000,4.491361694,31000,0,67,
G06,SYBR,mCherry,Std-07,,,28.37175476,28.22903733,0.123969643,3100,3.491361694,3100,0,67,
G07,SYBR,mCherry,Std-08,,,31.08513059,31.12977266,0.277223015,310,2.491361694,310,0,67,
G09,SYBR,mCherry,Unkn-14,H2O,NTC,34.22543958,34.22543958,0,48.28809961,1.683840114,48.28809961,0,67,
G10,SYBR,mCherry,Unkn-14,H2O,NTC,NaN,0,0,NaN,NaN,0,0,67,
H02,SYBR,mCherry,Std-03,,,12.84432543,12.81238498,0.118527873,31000000,7.491361694,31000000,0,67,
H03,SYBR,mCherry,Std-04,,,16.28485525,16.14927101,0.121425567,3100000,6.491361694,3100000,0,67,
H04,SYBR,mCherry,Std-05,,,19.1475937,18.99155515,0.178233134,310000,5.491361694,310000,0,67,
H05,SYBR,mCherry,Std-06,,,23.33805423,23.18497966,0.133128293,31000,4.491361694,31000,0,67,
H06,SYBR,mCherry,Std-07,,,28.1672845,28.22903733,0.123969643,3100,3.491361694,3100,0,67,
H07,SYBR,mCherry,Std-08,,,31.42660766,31.12977266,0.277223015,310,2.491361694,310,0,67,
H09,SYBR,mCherry,Unkn-14,H2O,NTC,NaN,0,0,NaN,NaN,0,0,67,
H10,SYBR,mCherry,Unkn-14,H2O,NTC,NaN,0,0,NaN,NaN,0,0,67,
