symbol_ensembl	Gag	GagMCP	GagZipMCP	EPN24MCP	No_Exporter_Psi	No_Exporter_MS2x8	NoDNA	Wildtype
CREB3L2_ENSG00000182158	4104	4439	4454	4590	3365	5584	7502	7130
P2RY8_ENSG00000182162	0	0	3	0	0	0	0	1
TP53TG1_ENSG00000182165	298	261	321	254	264	271	150	187
UNC5C_ENSG00000182168	183	226	221	193	175	237	354	482
TSEN54_ENSG00000182173	1402	1343	1476	1488	1250	1671	1347	1426
RGMA_ENSG00000182175	754	795	754	826	707	945	1329	1463
ASB18_ENSG00000182177	0	2	2	1	2	1	0	1
UBA7_ENSG00000182179	84	87	101	61	27	67	6	6
MRPS16_ENSG00000182180	3553	3298	3501	3687	3293	4442	4051	3341
SHISAL2A_ENSG00000182183	0	4	0	0	1	0	0	0
RAD51B_ENSG00000182185	399	395	354	452	372	497	398	391
CRYGB_ENSG00000182187	0	0	0	0	0	2	0	0
LDOC1_ENSG00000182195	714	653	747	778	681	835	876	1003
ARL6IP4_ENSG00000182196	118	127	149	96	75	106	56	68
EXT1_ENSG00000182197	1277	1374	1322	1414	1228	1695	1636	1483
SHMT2_ENSG00000182199	11982	11707	11709	12188	10699	13809	14393	14350
MOB2_ENSG00000182208	700	659	737	753	646	781	568	674
HHIPL1_ENSG00000182218	3	0	4	0	0	5	0	3
ATP6AP2_ENSG00000182220	2367	2324	2432	2563	2016	2853	2447	2463
ZAR1_ENSG00000182223	2	0	0	0	3	0	0	0
CYB5D1_ENSG00000182224	172	176	199	191	124	224	210	198
BACE2_ENSG00000182240	432	426	492	468	445	603	611	732
UBE2E2_ENSG00000182247	820	867	887	890	742	1094	1015	1077
SYNM_ENSG00000182253	155	120	153	106	105	169	107	172
KCNA4_ENSG00000182255	0	0	3	0	0	0	0	0
PRR34_ENSG00000182257	25	18	12	18	21	9	5	14
FIGN_ENSG00000182263	458	516	481	440	304	610	535	540
IZUMO1_ENSG00000182264	17	6	11	5	6	11	9	12
TMIGD1_ENSG00000182271	0	0	5	0	0	4	0	0
B4GALNT4_ENSG00000182272	515	519	552	535	455	620	643	1087
AP1S2_ENSG00000182287	2167	2340	2450	2544	2104	2862	2918	2461
C8orf33_ENSG00000182307	3258	3747	3710	3488	2867	4228	3335	2783
DCAF4L1_ENSG00000182308	51	37	58	23	20	39	7	6
SPACA6_ENSG00000182310	61	65	73	89	58	84	26	79
MBD3L3_ENSG00000182315	0	1	0	0	0	0	0	0
ZSCAN22_ENSG00000182318	308	331	339	303	249	369	365	301
KCNJ14_ENSG00000182324	50	39	74	59	23	29	21	14
FBXL6_ENSG00000182325	1139	1283	1452	1034	892	1381	520	806
C1S_ENSG00000182326	63	71	74	41	47	72	14	12
GLTPD2_ENSG00000182327	24	21	29	12	8	13	19	14
KIAA2012_ENSG00000182329	0	0	1	2	0	0	0	1
PDSS1P1_ENSG00000182347	0	1	0	0	0	0	0	0
KBTBD3_ENSG00000182359	56	61	92	60	56	93	64	62
YBEY_ENSG00000182362	518	515	513	500	535	656	517	425
FAM87A_ENSG00000182366	0	0	6	2	3	0	0	0
CLN8_ENSG00000182372	316	296	394	311	304	395	322	294
ENSG00000182376	1	2	3	2	2	1	4	0
PLCXD1_ENSG00000182378	2261	2298	2654	2411	1645	2769	2723	4169
NXPH4_ENSG00000182379	398	377	426	463	364	437	459	572
RPL27AP5_ENSG00000182383	7	1	0	2	2	2	1	3
CACNB4_ENSG00000182389	354	385	420	411	279	465	388	343
DNM1P46_ENSG00000182397	53	48	45	60	48	69	48	30
TRAPPC6B_ENSG00000182400	507	545	575	503	426	623	622	529
PGBD4_ENSG00000182405	146	145	163	136	108	188	119	111
NPLOC4_ENSG00000182446	5039	5045	5296	4776	3910	5881	4970	4188
OTOL1_ENSG00000182447	1	0	0	0	0	0	0	0
KCNK4_ENSG00000182450	0	0	0	0	0	1	0	0
TEX19_ENSG00000182459	31	35	21	49	22	26	37	30
TSHZ2_ENSG00000182463	141	154	142	145	108	170	230	257
CAPN12_ENSG00000182472	10	6	14	9	6	11	7	14
EXOC7_ENSG00000182473	1871	2015	2084	2177	1538	2457	2367	2020
OR2B8P_ENSG00000182477	0	1	0	0	0	3	1	0
KPNA2_ENSG00000182481	9905	10418	10488	10553	8297	12407	8140	7657
WASH6P_ENSG00000182484	572	601	702	514	436	679	326	378
NCF1B_ENSG00000182487	1	0	0	0	0	3	0	0
XKRX_ENSG00000182489	5	7	19	15	10	10	18	20
BGN_ENSG00000182492	0	1	1	0	6	2	0	2
CEP97_ENSG00000182504	1453	1508	1645	1568	1240	1902	1918	1710
LHFPL1_ENSG00000182508	0	0	0	0	1	0	1	0
FES_ENSG00000182511	57	64	40	51	52	55	51	29
GLRX5_ENSG00000182512	1711	1715	1712	1922	1542	1989	1974	1826
FAM104B_ENSG00000182518	384	391	376	414	339	471	521	366
TBPL2_ENSG00000182521	1	0	0	3	0	0	0	0
CAV3_ENSG00000182533	42	40	31	47	27	68	56	37
MXRA7_ENSG00000182534	2130	2251	2112	2126	2012	2599	2613	2764
LIMK2_ENSG00000182541	1073	1062	1151	1062	785	1337	813	703
MFSD5_ENSG00000182544	362	312	345	370	290	384	351	279
ADI1_ENSG00000182551	2045	1849	1899	1911	1964	2175	1804	1255
RWDD4_ENSG00000182552	663	595	650	556	552	789	645	593
SPNS3_ENSG00000182557	6	0	0	4	0	0	0	3
SATB1_ENSG00000182568	844	834	913	893	664	944	1029	1162
CSGALNACT2P1_ENSG00000182574	1	0	1	0	0	1	0	2
NXPH3_ENSG00000182575	17	19	18	31	20	28	21	26
CSF1R_ENSG00000182578	2	3	0	2	1	0	1	0
EPHB3_ENSG00000182580	101	89	105	89	75	122	48	127
VCX_ENSG00000182583	5	0	2	0	4	0	0	0
ENSG00000182584	0	0	6	0	1	0	2	0
EPGN_ENSG00000182585	0	4	0	0	0	0	0	0
LINC00334_ENSG00000182586	8	2	3	3	0	0	1	3
KRTAP11-1_ENSG00000182591	0	0	0	0	0	1	0	0
SNORC_ENSG00000182600	81	118	145	85	63	102	56	52
HS3ST4_ENSG00000182601	7	6	9	5	4	7	0	0
TRAK1_ENSG00000182606	1418	1540	1554	1478	1174	1766	1846	1978
TSPAN10_ENSG00000182612	331	267	290	295	321	254	234	224
PLCB1_ENSG00000182621	644	739	801	792	640	883	1001	1053
SKA2_ENSG00000182628	3118	3223	3421	3286	2832	3670	3299	2980
CCNYL2_ENSG00000182632	7	9	3	6	7	4	2	4
LINC01006_ENSG00000182648	172	178	145	123	130	177	134	81
TTC3_ENSG00000182670	3413	3861	3882	4031	2946	4760	5323	6151
KCNB2_ENSG00000182674	78	61	81	109	85	144	137	172
PPP1R27_ENSG00000182676	1	6	5	0	0	0	0	1
BRICD5_ENSG00000182685	54	25	48	28	27	44	24	57
GALR2_ENSG00000182687	108	94	118	92	48	68	7	8
RESP18_ENSG00000182698	0	0	0	0	0	2	0	0
IGIP_ENSG00000182700	97	100	134	131	57	133	86	116
TSKU_ENSG00000182704	363	380	501	429	372	481	409	373
CMC4_ENSG00000182712	407	371	387	440	315	415	455	396
ANXA2_ENSG00000182718	1915	1855	1918	2361	1781	2489	2214	2149
SEPHS1P1_ENSG00000182722	0	5	0	1	0	0	0	0
RGS6_ENSG00000182732	0	1	0	0	2	1	3	0
HOXB4_ENSG00000182742	241	215	311	181	163	277	109	172
SLC35D3_ENSG00000182747	13	21	4	14	2	14	18	19
PAQR7_ENSG00000182749	213	212	239	258	177	241	225	201
PAPPA_ENSG00000182752	0	0	2	6	0	0	3	1
MAFA_ENSG00000182759	123	96	130	136	96	90	66	79
NGRN_ENSG00000182768	2030	1872	1966	1979	1725	2203	2250	1858
GRID1_ENSG00000182771	236	257	217	293	226	315	353	418
RPS17_ENSG00000182774	16525	16449	17560	17727	15234	21198	17973	16694
HCAR2_ENSG00000182782	2	2	5	5	5	2	1	1
CCDC87_ENSG00000182791	4	11	14	17	5	9	12	14
C1orf116_ENSG00000182795	9	16	10	4	6	14	1	4
TMEM198B_ENSG00000182796	341	317	361	348	231	486	228	368
MAGEB17_ENSG00000182798	6	8	0	2	2	0	0	0
CRIP2_ENSG00000182809	603	532	671	419	413	503	136	196
DDX28_ENSG00000182810	788	831	839	873	786	958	766	673
FUNDC2P2_ENSG00000182814	1	0	0	0	0	1	0	2
ACBD3_ENSG00000182827	4187	4499	4858	4355	3335	4894	4190	3672
C16orf72_ENSG00000182831	2531	2853	2976	2861	2388	3163	2933	2800
RRP7BP_ENSG00000182841	494	482	683	546	372	653	289	314
VMO1_ENSG00000182853	20	9	18	6	14	16	12	2
ALG12_ENSG00000182858	695	687	692	726	610	807	734	716
LCK_ENSG00000182866	9	11	18	19	0	3	1	1
GALNT9_ENSG00000182870	21	18	20	10	13	9	9	13
COL18A1_ENSG00000182871	1321	1427	1388	1513	1273	1640	1944	2696
RBM10_ENSG00000182872	4528	4805	4876	4556	3536	5256	4633	4516
PRKCZ-AS1_ENSG00000182873	8	16	32	32	1	24	7	27
ADGRG3_ENSG00000182885	4	1	3	1	3	5	3	4
RPS27AP20_ENSG00000182888	0	0	0	2	1	0	0	0
GLUD2_ENSG00000182890	13	22	14	17	19	22	18	21
RPL35A_ENSG00000182899	7364	6996	7655	7635	7101	8833	8102	9068
RGS7_ENSG00000182901	190	177	164	148	139	177	210	178
SLC25A18_ENSG00000182902	18	4	26	9	5	17	7	9
ZNF721_ENSG00000182903	1182	1271	1390	1156	818	1419	911	810
TSPEAR-AS2_ENSG00000182912	242	234	278	231	211	286	269	221
TCEAL7_ENSG00000182916	35	39	36	64	54	61	42	47
C11orf54_ENSG00000182919	553	599	692	587	488	631	649	652
CCDC75P1_ENSG00000182921	0	0	0	0	0	0	0	1
CEP63_ENSG00000182923	1063	1101	1131	962	795	1264	972	872
WFDC10B_ENSG00000182931	0	0	2	0	1	0	0	0
SRPRA_ENSG00000182934	4077	4389	4217	4394	3496	5430	5057	4292
EWSR1_ENSG00000182944	12568	12200	12987	12368	9690	14230	10805	11928
ODF3L1_ENSG00000182950	49	41	39	24	21	39	15	13
HMGN4_ENSG00000182952	1905	2073	2189	2113	1770	2652	2098	2420
SPATA13_ENSG00000182957	137	105	133	147	117	202	175	179
GJC1_ENSG00000182963	1851	1781	1955	1844	1417	2064	2093	2262
SOX1_ENSG00000182968	4	0	3	1	0	2	0	0
CNOT10_ENSG00000182973	4029	4555	4833	4194	3389	4935	3616	3133
MTA1_ENSG00000182979	5881	5942	6505	6420	4700	7194	5985	6814
ZNF662_ENSG00000182983	0	0	0	0	0	2	1	1
CADM1_ENSG00000182985	1613	1589	1686	1597	1348	2009	2085	2189
ZNF320_ENSG00000182986	308	305	275	272	171	400	276	269
C12orf60_ENSG00000182993	85	89	78	89	80	94	107	79
PYCR1_ENSG00000183010	6441	6565	6943	7213	6433	8122	8663	7881
NAA38_ENSG00000183011	1376	1282	1419	1428	1497	1586	1542	1535
SPNS2_ENSG00000183018	76	81	102	88	59	76	68	110
MCEMP1_ENSG00000183019	0	7	1	1	3	0	4	0
AP2A2_ENSG00000183020	3308	3548	3626	3768	2777	4100	3578	3700
TPM3P8_ENSG00000183022	0	2	2	3	0	4	3	3
SLC8A1_ENSG00000183023	62	67	60	82	75	99	128	230
SLC25A21_ENSG00000183032	142	169	151	147	155	179	175	100
OTOP2_ENSG00000183034	4	1	4	2	2	13	1	4
CYLC1_ENSG00000183035	0	3	0	0	1	1	0	0
ABAT_ENSG00000183044	191	197	254	147	173	284	263	332
SLC25A10_ENSG00000183048	665	653	661	582	572	737	713	787
CAMK1D_ENSG00000183049	148	194	180	216	172	181	301	450
RGPD6_ENSG00000183054	0	1	0	2	2	0	0	2
FAM133CP_ENSG00000183055	0	0	0	0	1	0	1	0
LYSMD4_ENSG00000183060	465	412	493	479	335	517	383	375
WBP2NL_ENSG00000183066	0	0	0	0	0	4	0	0
IGSF5_ENSG00000183067	2	0	0	0	0	0	0	0
NKX2-5_ENSG00000183072	2012	1954	2116	1795	1808	2336	1612	1447
AFMID_ENSG00000183077	514	508	469	509	466	636	596	569
GAS6_ENSG00000183087	443	364	463	363	362	456	450	640
FREM3_ENSG00000183090	4	0	0	0	0	0	0	0
NEB_ENSG00000183091	20	21	27	19	3	28	17	10
BEGAIN_ENSG00000183092	113	98	127	107	88	134	106	128
GPC6_ENSG00000183098	691	777	780	819	654	1007	1204	1219
ARHGEF37_ENSG00000183111	194	204	204	158	111	200	167	207
FAM43B_ENSG00000183114	25	14	28	18	23	15	22	74
CSMD1_ENSG00000183117	0	0	2	0	0	0	0	0
CALHM3_ENSG00000183128	0	0	0	1	0	0	0	0
PTGDR2_ENSG00000183134	4	0	11	6	3	4	3	10
CEP57L1_ENSG00000183137	1007	1206	1202	1109	923	1451	1284	1427
RIPPLY3_ENSG00000183145	44	53	58	93	56	91	106	105
GPR19_ENSG00000183150	54	67	52	39	50	77	27	27
GJD3_ENSG00000183153	54	44	52	34	39	62	34	55
ENSG00000183154	0	0	4	0	1	0	1	0
RABIF_ENSG00000183155	669	654	696	734	594	751	810	699
TMEM119_ENSG00000183160	7	4	16	9	1	8	0	0
FANCF_ENSG00000183161	19	15	16	17	18	29	17	10
CALN1_ENSG00000183166	0	2	0	3	0	0	0	0
ENSG00000183171	5	8	4	2	5	9	7	8
SMDT1_ENSG00000183172	999	980	945	1091	860	1167	839	725
C2CD4C_ENSG00000183186	79	76	68	81	70	86	81	107
CHST6_ENSG00000183196	49	38	61	52	35	55	60	130
HSP90AB3P_ENSG00000183199	34	36	26	28	18	63	29	40
RUVBL2_ENSG00000183207	4779	4731	4962	4984	4629	5580	4902	4309
GDPGP1_ENSG00000183208	94	80	94	93	86	96	125	130
CTNNA3_ENSG00000183230	7	8	7	12	7	9	16	12
ENSG00000183239	2	4	0	6	1	1	0	1
WT1-AS_ENSG00000183242	3	6	13	10	7	21	10	14
RIMBP3C_ENSG00000183246	22	11	6	15	13	3	7	13
PRR36_ENSG00000183248	191	213	165	196	203	193	267	502
LINC01547_ENSG00000183250	1046	927	996	1012	811	1147	1109	959
PTTG1IP_ENSG00000183255	3993	4100	4189	4289	3544	5077	4346	4364
DDX41_ENSG00000183258	2292	2427	2425	2348	1721	2703	1883	1749
CCDC60_ENSG00000183273	23	31	18	5	8	7	0	0
PLGLB1_ENSG00000183281	5	3	11	3	1	3	7	2
DAZAP2_ENSG00000183283	1768	1843	1769	1890	1569	2217	1830	1877
CCBE1_ENSG00000183287	51	47	80	55	65	67	93	116
SELENOF_ENSG00000183291	4312	4324	4612	4731	3871	5613	4645	4240
RPSAP19_ENSG00000183298	38	26	32	35	21	40	28	34
TMEM121B_ENSG00000183307	191	235	199	234	261	277	278	266
ENSG00000183308	6	3	14	8	5	7	8	3
ZNF623_ENSG00000183309	1405	1522	1582	1472	1182	1936	1669	1418
EPHA10_ENSG00000183317	141	138	183	167	117	246	156	161
CCDC125_ENSG00000183323	665	718	784	743	557	834	672	827
BCOR_ENSG00000183337	6623	7531	7217	7617	5729	8709	12057	12386
JRKL_ENSG00000183340	305	308	365	361	252	354	338	366
CABCOCO1_ENSG00000183346	15	17	12	17	9	10	16	27
GBP6_ENSG00000183347	0	2	0	0	0	1	1	3
KIAA2026_ENSG00000183354	315	335	450	382	243	436	462	428
SYNDIG1L_ENSG00000183379	15	4	6	3	6	5	0	3
FHL3_ENSG00000183386	388	523	443	432	350	503	430	508
PMCH_ENSG00000183395	0	0	0	0	0	1	2	0
C19orf71_ENSG00000183397	0	4	3	3	1	2	2	4
CCDC159_ENSG00000183401	57	93	65	96	54	82	64	51
RIPK4_ENSG00000183421	808	761	834	707	674	856	785	782
LRIT3_ENSG00000183423	40	28	38	20	11	29	7	5
NPIPA1_ENSG00000183426	408	386	478	332	204	421	216	264
SF3A3_ENSG00000183431	4682	4647	4840	4687	3996	5925	5224	4696
OR7E38P_ENSG00000183444	6	14	18	10	11	30	6	9
GRIN2A_ENSG00000183454	0	0	0	1	0	0	0	0
PKD1P3_ENSG00000183458	261	262	257	271	203	301	273	357
URAD_ENSG00000183463	17	6	4	10	6	23	19	20
GTF2H2C_ENSG00000183474	779	815	768	750	691	1037	916	811
ASB7_ENSG00000183475	1063	1078	1140	1163	887	1282	1263	1152
SH2D7_ENSG00000183476	12	0	4	10	3	1	7	2
TREX2_ENSG00000183479	28	30	38	37	26	22	21	23
GPR132_ENSG00000183484	5	0	1	2	2	5	2	2
MX2_ENSG00000183486	0	1	2	0	0	0	0	0
EP400_ENSG00000183495	2054	2584	2526	2357	1714	2745	3461	3192
MEX3B_ENSG00000183496	545	519	701	581	458	544	532	609
PI4KAP2_ENSG00000183506	992	915	1191	960	678	1187	569	692
TENT5C_ENSG00000183508	98	81	96	72	62	95	77	146
COA5_ENSG00000183513	664	680	703	704	646	882	734	743
UTP11_ENSG00000183520	1520	1665	1819	1801	1471	2069	1575	1426
PSMG1_ENSG00000183527	2856	3030	3232	3289	2631	3870	3311	2783
PRR14L_ENSG00000183530	1700	1782	1887	1694	1208	2127	2169	2278
COL18A1-AS1_ENSG00000183535	3	0	0	0	0	0	0	0
IZUMO1R_ENSG00000183560	9	4	1	4	3	2	0	0
ENSG00000183562	2	1	9	7	4	11	0	6
SERHL2_ENSG00000183569	30	37	42	73	38	50	44	64
PCBP3_ENSG00000183570	122	153	98	159	103	172	176	189
PGPEP1L_ENSG00000183571	0	0	0	2	0	1	0	0
SETD3_ENSG00000183576	1725	1543	1659	1721	1476	1977	1816	1707
TNFAIP8L3_ENSG00000183578	13	18	20	18	24	20	37	21
ZNRF3_ENSG00000183579	884	878	932	1014	703	1145	1193	1108
FBXL7_ENSG00000183580	13	15	7	4	11	15	7	18
HMGN3P1_ENSG00000183586	0	3	0	2	1	0	0	0
TANGO2_ENSG00000183597	526	481	448	448	465	539	441	386
H3C13_ENSG00000183598	17	10	17	4	11	3	3	1
SMG1P5_ENSG00000183604	162	168	222	159	110	177	69	68
SFXN4_ENSG00000183605	1133	1133	1061	1137	993	1364	1239	1109
FAM167B_ENSG00000183615	10	1	12	1	4	0	1	0
MRPL54_ENSG00000183617	675	675	755	720	749	848	732	642
ZNF438_ENSG00000183621	100	95	102	80	86	116	96	90
HMCES_ENSG00000183624	1466	1440	1542	1467	1319	1752	1563	1507
DGCR6_ENSG00000183628	11	10	6	5	12	20	8	5
RP1L1_ENSG00000183638	25	31	26	26	21	39	39	47
HOATZ_ENSG00000183644	0	2	0	2	0	2	0	0
ZNF530_ENSG00000183647	443	387	401	369	326	429	278	247
NDUFB1_ENSG00000183648	582	544	669	556	485	702	602	621
MARCHF11_ENSG00000183654	0	0	0	1	1	0	0	0
KLHL25_ENSG00000183655	424	407	468	408	384	484	391	464
TAFA1_ENSG00000183662	0	2	0	0	0	0	0	0
TRMT12_ENSG00000183665	318	231	266	220	247	355	303	296
GUSBP1_ENSG00000183666	224	255	279	240	184	264	136	147
PSG9_ENSG00000183668	0	0	0	0	0	0	0	1
GPR1_ENSG00000183671	14	13	7	8	15	30	27	24
LINC00518_ENSG00000183674	1	0	0	1	0	0	0	0
BMP8A_ENSG00000183682	153	117	153	146	68	143	83	98
ALYREF_ENSG00000183684	4500	4383	4713	4720	4178	5037	4603	3760
RFLNB_ENSG00000183688	1137	1196	1147	1364	1051	1438	1743	1632
EFHC2_ENSG00000183690	0	0	0	0	0	0	0	1
NOG_ENSG00000183691	72	82	87	75	59	103	111	266
UPP1_ENSG00000183696	1072	914	974	1164	902	1305	1003	688
OPCML_ENSG00000183715	0	0	1	0	0	0	0	0
TRIM52_ENSG00000183718	326	308	387	311	192	355	161	267
LHFPL6_ENSG00000183722	270	279	287	250	260	351	330	354
CMTM4_ENSG00000183723	1668	1854	1814	1946	1448	2311	2699	2426
TMEM50A_ENSG00000183726	2122	1985	2012	2153	2063	2631	2314	2371
FIGLA_ENSG00000183733	1	0	0	0	0	0	0	0
ASCL2_ENSG00000183734	1	1	1	4	2	4	2	2
TBK1_ENSG00000183735	677	848	871	760	531	928	731	710
CBX6_ENSG00000183741	5059	5101	5593	5411	4301	6197	4766	4082
TBL3_ENSG00000183751	1711	1731	1761	1690	1400	2022	1626	1517
KREMEN1_ENSG00000183762	1011	1045	1166	1164	923	1375	1848	2087
TRAIP_ENSG00000183763	1255	1225	1405	1313	1094	1657	1062	918
CHEK2_ENSG00000183765	728	840	809	779	635	960	825	1031
FOXL2_ENSG00000183770	1	1	1	0	1	0	0	2
AIFM3_ENSG00000183773	3	6	7	20	3	6	3	0
KCTD16_ENSG00000183775	16	17	10	17	13	23	36	7
B3GALT5_ENSG00000183778	5	1	2	9	9	4	13	6
ZNF703_ENSG00000183779	15055	15254	15395	16057	13116	17418	20618	20625
SLC35F3_ENSG00000183780	4	6	2	2	4	10	6	7
KCTD8_ENSG00000183783	3	0	0	0	0	3	0	3
DOCK8-AS1_ENSG00000183784	13	22	18	18	18	21	17	16
TUBA8_ENSG00000183785	11	16	9	10	23	29	2	0
NPIPA5_ENSG00000183793	52	59	54	42	32	51	23	22
EMILIN3_ENSG00000183798	334	336	415	417	430	513	560	662
OLFML1_ENSG00000183801	3	0	2	0	0	0	0	1
RBM12B_ENSG00000183808	828	872	917	953	752	1020	715	758
CCR4_ENSG00000183813	17	10	8	7	16	8	0	0
LIN9_ENSG00000183814	1614	1635	1825	1685	1467	2029	1591	1605
BTBD9_ENSG00000183826	415	453	436	482	410	596	593	580
NUDT14_ENSG00000183828	390	309	382	472	418	435	322	251
ANKRD45_ENSG00000183831	1	8	4	6	4	6	2	1
CFAP91_ENSG00000183833	0	0	0	0	1	0	1	0
PNMA3_ENSG00000183837	2	2	7	0	2	8	0	2
GPR39_ENSG00000183840	1	5	0	0	0	0	2	0
FAM3B_ENSG00000183844	1	0	6	0	0	1	1	0
KIRREL1_ENSG00000183853	707	852	755	840	673	1029	1299	1351
IQGAP3_ENSG00000183856	3588	3941	4088	4005	2447	4669	3039	2982
TOB2_ENSG00000183864	1497	1509	1644	1469	1306	1730	1621	1769
SCN5A_ENSG00000183873	91	103	142	139	91	140	211	272
ARSI_ENSG00000183876	0	1	0	0	0	0	1	0
SRARP_ENSG00000183888	0	0	0	5	0	2	1	0
ENSG00000183889	116	116	113	118	77	139	92	114
TTC32_ENSG00000183891	140	117	145	107	104	142	72	106
RPL21P132_ENSG00000183911	0	0	1	0	0	0	0	3
DNAH2_ENSG00000183914	17	14	25	9	6	11	5	15
SH2D1A_ENSG00000183918	0	0	0	1	0	1	0	0
SDR42E2_ENSG00000183921	7	3	9	0	0	5	0	1
DUSP5P1_ENSG00000183929	2	22	13	3	2	10	15	9
HTR7P1_ENSG00000183935	98	102	120	77	78	114	84	92
PRKX_ENSG00000183943	938	901	980	743	628	1024	884	978
KMT5A_ENSG00000183955	3628	3577	3660	3611	3059	4215	3517	2821
KCNH8_ENSG00000183960	14	13	18	4	16	20	1	1
SMTN_ENSG00000183963	987	1133	1214	1026	699	1092	545	631
NPW_ENSG00000183971	24	21	16	15	5	30	9	3
PP2D1_ENSG00000183977	0	7	7	0	1	7	2	9
COA3_ENSG00000183978	1260	1064	1155	1263	1091	1405	1179	985
NPB_ENSG00000183979	0	0	1	5	2	4	1	1
ST6GALNAC3_ENSG00000184005	118	103	112	127	86	154	175	244
PTP4A2_ENSG00000184007	7161	6953	7448	7615	6561	8880	8134	8132
ACTG1_ENSG00000184009	31991	31153	31079	34222	28351	37965	35061	41901
TMPRSS2_ENSG00000184012	3	8	1	4	5	5	4	10
DENND5A_ENSG00000184014	3762	3889	4303	3802	3074	4510	3498	3525
DSCR4_ENSG00000184029	1	0	0	0	0	0	0	0
KRTAP20-2_ENSG00000184032	0	1	1	1	0	0	0	0
DIABLO_ENSG00000184047	206	218	192	174	135	226	171	130
VPS33B_ENSG00000184056	175	256	225	227	167	247	130	181
TBX1_ENSG00000184058	1253	1244	1241	1349	1128	1515	1509	1673
ADAP2_ENSG00000184060	175	171	163	171	136	205	238	277
SREBF2-AS1_ENSG00000184068	16	23	13	8	13	12	6	6
UQCR10_ENSG00000184076	1903	1799	1957	1854	1711	2032	1670	1758
FAM120C_ENSG00000184083	431	475	509	461	350	502	588	562
BRD7P2_ENSG00000184100	13	12	19	9	3	13	12	18
EIF3C_ENSG00000184110	610	635	734	632	540	717	585	554
CLDN5_ENSG00000184113	8	6	10	9	3	9	6	7
NIPSNAP1_ENSG00000184117	2290	2672	2682	2683	2380	3161	3412	3930
CNTN2_ENSG00000184144	0	4	5	0	2	3	0	1
LRTOMT_ENSG00000184154	208	181	200	204	172	280	166	185
KCNQ3_ENSG00000184156	1	0	1	0	4	1	1	2
ADRA2C_ENSG00000184160	577	440	507	470	454	582	565	668
NR2C2AP_ENSG00000184162	581	463	543	555	510	672	525	581
C1QTNF12_ENSG00000184163	38	26	29	20	16	29	16	13
CRELD2_ENSG00000184164	1337	1268	1422	1370	1152	1443	1091	907
SCFD2_ENSG00000184178	498	535	566	520	426	680	570	523
UBE2F_ENSG00000184182	910	848	831	928	838	1033	879	723
KCNJ12_ENSG00000184185	196	194	176	169	192	200	263	365
GPR173_ENSG00000184194	0	0	5	0	0	1	0	1
PPP1R2_ENSG00000184203	1436	1353	1542	1504	1276	1781	1531	1489
TSPYL2_ENSG00000184205	2104	2103	2447	2176	1483	2556	1375	1790
GOLGA6L4_ENSG00000184206	9	4	12	5	3	5	6	2
PGP_ENSG00000184207	1812	1687	1960	1765	1770	1906	1705	1623
C22orf46_ENSG00000184208	1380	1403	1379	1451	1082	1639	1897	1591
SNRNP35_ENSG00000184209	429	345	385	402	312	431	360	402
IRAK1_ENSG00000184216	10888	11091	11075	12233	10482	13408	12774	9061
CMSS1_ENSG00000184220	2243	2489	2592	2604	2052	3078	2452	2080
OLIG1_ENSG00000184221	32	42	39	28	41	43	35	58
C11orf72_ENSG00000184224	4	1	7	4	13	4	8	13
PCDH9_ENSG00000184226	1368	1283	1424	1279	1064	1481	1582	1570
ACOT1_ENSG00000184227	89	85	98	97	91	107	108	136
OAF_ENSG00000184232	1022	909	897	986	932	1142	1282	1221
ALDH1A3_ENSG00000184254	115	127	160	137	116	122	144	204
H2AC20_ENSG00000184260	74	58	67	73	61	68	70	45
KCNK12_ENSG00000184261	18	21	30	26	14	23	13	4
H2AC21_ENSG00000184270	1	0	2	2	0	3	0	2
POU6F1_ENSG00000184271	204	206	233	227	139	268	267	278
LINC00315_ENSG00000184274	0	0	0	0	2	3	0	0
TM2D3_ENSG00000184277	1215	1280	1359	1357	1135	1646	1226	1518
TSSC4_ENSG00000184281	1218	1183	1266	1179	1087	1186	831	837
SIX6_ENSG00000184302	0	1	0	0	0	0	0	0
DRD5P1_ENSG00000184303	3	0	0	0	2	0	0	0
PRKD1_ENSG00000184304	382	407	436	412	308	541	592	543
CCSER1_ENSG00000184305	75	48	69	82	73	101	115	136
ZDHHC23_ENSG00000184307	280	271	312	337	244	406	285	368
MROH7_ENSG00000184313	0	8	0	0	0	1	0	0
RPL23AP82_ENSG00000184319	624	644	736	534	492	658	443	484
SRPK3_ENSG00000184343	30	22	12	12	10	34	10	31
SLIT3_ENSG00000184347	42	53	45	42	38	51	136	200
EFNA5_ENSG00000184349	589	658	630	602	451	738	732	548
MRGPRE_ENSG00000184350	1	2	1	3	1	0	0	0
KRTAP19-1_ENSG00000184351	302	268	332	323	275	386	365	238
H1-5_ENSG00000184357	17	2	8	1	1	4	0	5
SPATA32_ENSG00000184361	1	0	0	0	2	0	1	2
PKP3_ENSG00000184363	0	2	2	0	8	5	0	7
MAP7D2_ENSG00000184368	956	1017	841	1031	839	1208	1415	1388
CSF1_ENSG00000184371	600	546	743	479	412	527	257	225
ACTRT3_ENSG00000184378	32	31	17	21	33	29	27	53
PLA2G6_ENSG00000184381	599	535	656	499	339	680	322	516
MAML2_ENSG00000184384	75	68	78	70	56	84	157	203
